career_name,domain,paid,customer_type,product_type,physical_presence,location_specific,scale,people_interaction,manual_work,creative_output,technical_work,uniqueness_level,automation_risk,social_impact,typical_age_min
Fashion Model,marketing,no,platform,experience,no,yes,medium,low,no,no,no,low,high,low,25
Marketing Specialist,entertainment,yes,individuals,physical,no,no,medium,low,no,yes,yes,medium,high,low,17
Marketing Specialist,design,yes,companies,experience,yes,yes,small,high,yes,yes,no,low,medium,high,23
Social Media Influencer,technology,no,individuals,digital,no,no,large,medium,yes,yes,no,high,low,low,24
UX Designer,automotive,sometimes,companies,content,yes,no,small,high,yes,no,no,high,medium,high,21
Community Manager,religion,yes,platform,service,yes,no,medium,high,yes,yes,yes,medium,medium,medium,22
Architect,marketing,no,individuals,experience,sometimes,yes,small,medium,no,no,yes,high,low,high,30
Automotive Engineer,education,sometimes,organizations,digital,yes,no,medium,high,yes,yes,no,high,medium,low,26
Software Developer,non-profit,sometimes,individuals,content,no,no,medium,medium,yes,no,no,high,low,low,28
Data Analyst,marketing,no,companies,digital,yes,yes,large,low,yes,no,yes,high,low,low,29
Religious Youth Leader,non-profit,no,individuals,service,sometimes,yes,massive,medium,yes,no,yes,medium,medium,low,24
Photographer,music,no,platform,physical,yes,no,medium,high,yes,yes,no,low,low,high,18
Civil Engineer,technology,sometimes,individuals,experience,yes,yes,large,medium,no,no,no,low,high,low,17
Data Analyst,music,sometimes,platform,service,no,yes,massive,medium,yes,no,yes,high,medium,medium,27
Video Editor,marketing,sometimes,companies,physical,no,no,massive,high,no,yes,no,medium,low,medium,20
Automotive Engineer,non-profit,sometimes,individuals,content,yes,no,medium,high,yes,no,yes,high,low,low,29
Software Developer,education,yes,platform,digital,no,no,medium,medium,no,no,no,low,medium,high,13
Fashion Model,non-profit,sometimes,brands,digital,yes,no,medium,high,no,yes,no,high,high,low,26
UX Designer,education,yes,platform,service,sometimes,yes,medium,low,yes,yes,yes,medium,medium,low,14
Photographer,social media,yes,individuals,digital,sometimes,yes,large,low,yes,no,no,high,medium,medium,14
UX Designer,religion,yes,organizations,digital,sometimes,yes,medium,medium,yes,yes,no,high,high,low,28
Data Analyst,social media,no,companies,content,sometimes,no,massive,high,no,no,yes,low,medium,high,25
Fashion Model,education,no,brands,digital,no,yes,medium,medium,no,no,yes,high,medium,medium,14
Video Editor,automotive,sometimes,organizations,experience,yes,no,medium,high,yes,no,yes,medium,high,medium,27
Video Editor,music,no,platform,physical,yes,no,medium,high,no,yes,no,medium,high,medium,24
Graphic Designer,social media,yes,platform,service,yes,yes,medium,high,no,no,no,high,low,medium,18
Fashion Model,religion,yes,individuals,experience,yes,no,massive,high,yes,yes,no,medium,low,low,25
Graphic Designer,music,sometimes,organizations,digital,sometimes,yes,massive,low,yes,no,yes,high,low,high,19
UX Designer,music,sometimes,companies,digital,no,yes,large,medium,yes,yes,yes,medium,low,high,30
Marketing Specialist,non-profit,yes,platform,digital,sometimes,yes,massive,high,yes,yes,yes,medium,low,low,20
UX Designer,music,no,organizations,service,yes,yes,small,high,no,yes,yes,low,low,high,25
YouTuber,automotive,sometimes,brands,physical,yes,no,small,high,yes,yes,no,low,medium,medium,26
Church Choir Member,design,yes,companies,physical,no,yes,large,medium,no,no,no,medium,high,medium,19
Event Coordinator,non-profit,no,platform,physical,yes,no,medium,low,yes,yes,yes,medium,medium,low,18
Teacher,entertainment,sometimes,organizations,service,yes,no,massive,low,yes,no,no,high,low,medium,15
Film Editor,non-profit,sometimes,platform,content,sometimes,yes,small,medium,yes,no,yes,medium,medium,low,19
Video Editor,technology,no,organizations,content,sometimes,yes,large,high,no,no,yes,high,low,medium,28
Data Analyst,design,yes,companies,physical,yes,no,large,high,yes,no,yes,high,low,medium,27
Product Manager,marketing,yes,platform,physical,sometimes,yes,large,medium,yes,no,yes,high,medium,medium,25
Film Editor,technology,yes,brands,service,no,yes,small,medium,yes,yes,no,medium,medium,low,29
Software Developer,education,yes,platform,service,no,no,medium,low,yes,no,yes,low,high,high,17
Church Choir Member,marketing,yes,platform,service,no,yes,large,low,no,yes,no,low,medium,low,28
Music Producer,technology,sometimes,platform,digital,sometimes,yes,medium,high,yes,no,no,medium,high,low,23
Data Analyst,entertainment,sometimes,organizations,content,sometimes,no,massive,high,yes,no,yes,low,high,low,14
Civil Engineer,design,no,platform,digital,sometimes,yes,small,high,no,yes,no,high,high,high,23
Mechanical Technician,technology,sometimes,brands,content,no,no,massive,medium,no,no,yes,high,high,low,27
Music Producer,design,yes,organizations,experience,sometimes,no,small,low,yes,yes,yes,low,medium,high,17
Marketing Specialist,technology,yes,individuals,content,sometimes,yes,large,high,no,no,yes,high,low,low,16
Civil Engineer,education,no,companies,service,no,no,medium,medium,yes,yes,no,low,low,high,24
Game Designer,marketing,no,companies,experience,no,no,medium,low,no,no,yes,high,high,medium,13
YouTuber,non-profit,no,brands,experience,sometimes,no,massive,high,yes,no,no,medium,low,medium,22
Automotive Engineer,automotive,yes,companies,content,sometimes,no,massive,medium,no,no,no,high,medium,medium,25
Journalist,entertainment,sometimes,platform,physical,no,yes,medium,medium,yes,no,no,high,low,medium,29
Photographer,non-profit,yes,organizations,content,yes,no,medium,medium,no,no,no,low,low,high,14
Product Manager,marketing,sometimes,companies,physical,sometimes,yes,massive,medium,yes,no,yes,medium,high,medium,15
Social Media Influencer,technology,yes,platform,physical,sometimes,yes,massive,low,yes,yes,yes,high,medium,low,20
Video Editor,automotive,yes,brands,content,yes,yes,medium,high,no,no,yes,medium,medium,low,18
Game Designer,non-profit,sometimes,platform,content,sometimes,no,large,medium,no,no,no,high,medium,medium,26
YouTuber,music,yes,organizations,experience,yes,no,medium,high,no,no,no,low,high,high,28
Photographer,social media,sometimes,brands,content,sometimes,no,small,high,no,no,yes,medium,medium,medium,22
Photographer,design,yes,organizations,digital,yes,no,massive,medium,no,yes,no,high,medium,high,18
Journalist,automotive,no,organizations,digital,sometimes,yes,medium,low,no,yes,yes,low,high,low,29
Sound Engineer,religion,yes,brands,physical,yes,no,massive,medium,yes,no,yes,medium,medium,medium,27
Civil Engineer,automotive,no,platform,content,sometimes,no,large,low,yes,no,no,high,medium,high,25
YouTuber,technology,yes,organizations,digital,yes,no,massive,medium,no,yes,yes,low,low,high,29
Video Editor,technology,yes,companies,physical,no,no,massive,medium,yes,yes,no,high,high,high,29
Church Choir Member,religion,no,platform,digital,sometimes,no,massive,medium,yes,yes,yes,medium,medium,medium,29
Event Coordinator,non-profit,yes,platform,experience,no,yes,large,medium,no,no,no,high,medium,medium,16
Church Choir Member,education,no,platform,service,yes,no,massive,high,yes,no,yes,high,low,low,15
Data Analyst,education,no,organizations,service,no,no,medium,low,yes,yes,no,high,low,high,28
Civil Engineer,music,no,companies,experience,sometimes,yes,medium,medium,yes,yes,yes,high,medium,medium,17
Teacher,marketing,yes,companies,experience,no,no,massive,high,no,no,no,high,medium,low,23
Civil Engineer,social media,yes,companies,digital,no,yes,massive,low,yes,yes,no,high,high,high,28
Community Manager,music,yes,platform,digital,sometimes,yes,small,medium,no,no,no,high,medium,low,23
Graphic Designer,social media,yes,individuals,physical,yes,yes,massive,medium,no,no,yes,low,medium,low,26
NGO Worker,education,yes,brands,digital,no,no,large,medium,no,no,yes,medium,high,low,13
Video Editor,entertainment,sometimes,companies,digital,yes,no,medium,high,no,no,yes,medium,medium,low,16
UX Designer,automotive,sometimes,platform,service,no,no,medium,medium,no,yes,no,medium,high,low,14
YouTuber,entertainment,yes,platform,content,no,no,small,low,no,no,yes,high,high,low,26
Automotive Engineer,automotive,yes,companies,physical,yes,no,massive,medium,yes,no,yes,medium,high,low,19
Content Creator,music,yes,individuals,content,yes,no,large,medium,yes,yes,yes,medium,medium,medium,21
Graphic Designer,education,no,organizations,digital,sometimes,no,large,medium,yes,no,no,high,high,medium,26
Music Producer,education,no,organizations,physical,no,yes,medium,low,no,yes,yes,medium,high,high,19
Event Coordinator,marketing,yes,platform,experience,no,no,small,medium,no,no,yes,low,high,low,14
Product Manager,design,no,organizations,experience,sometimes,no,massive,high,yes,yes,no,high,medium,medium,18
UX Designer,automotive,sometimes,individuals,digital,sometimes,no,large,low,no,no,yes,medium,high,high,13
Teacher,education,sometimes,organizations,physical,no,yes,medium,high,no,no,yes,medium,medium,low,21
Product Manager,entertainment,sometimes,companies,experience,sometimes,no,large,high,no,yes,no,high,low,medium,30
YouTuber,social media,sometimes,individuals,service,yes,no,small,low,yes,yes,yes,low,high,low,24
Photographer,social media,sometimes,individuals,digital,no,yes,massive,low,no,yes,yes,high,medium,low,30
Architect,automotive,sometimes,brands,service,sometimes,yes,small,low,yes,yes,yes,low,medium,medium,26
Video Editor,music,sometimes,platform,content,no,yes,large,high,yes,no,no,low,high,low,16
Data Analyst,design,yes,individuals,experience,no,no,massive,medium,no,no,yes,high,low,low,21
Content Creator,religion,no,brands,content,yes,yes,small,high,no,yes,yes,medium,medium,low,28
Data Analyst,non-profit,yes,individuals,digital,no,yes,large,medium,yes,no,no,medium,low,low,23
Vehicle Armoring Specialist,education,no,platform,experience,no,no,medium,high,yes,no,yes,low,high,high,22
Photographer,religion,yes,individuals,content,no,yes,small,low,yes,yes,no,low,low,high,13
Photographer,marketing,yes,organizations,content,yes,yes,large,medium,yes,yes,yes,medium,high,low,18
Fashion Model,entertainment,sometimes,platform,physical,no,no,small,high,no,no,yes,high,medium,high,18
Event Coordinator,social media,sometimes,companies,physical,no,yes,medium,medium,no,no,yes,low,medium,medium,29
UX Designer,marketing,no,brands,content,no,no,small,low,yes,yes,yes,medium,low,high,28
Film Editor,marketing,sometimes,brands,experience,sometimes,no,massive,medium,no,no,yes,low,high,high,18
Software Developer,social media,sometimes,platform,service,yes,no,medium,low,yes,no,no,medium,low,low,27
Sound Engineer,social media,sometimes,companies,digital,no,yes,medium,high,no,no,no,high,medium,low,22
Community Manager,non-profit,sometimes,companies,physical,sometimes,yes,small,high,yes,yes,no,high,high,low,17
Mechanical Technician,marketing,no,companies,digital,yes,no,large,medium,no,yes,no,high,medium,low,27
Graphic Designer,technology,sometimes,companies,experience,yes,yes,medium,high,yes,yes,no,high,high,low,25
Event Coordinator,music,sometimes,individuals,content,sometimes,no,medium,low,yes,yes,yes,medium,low,low,29
Mechanical Technician,technology,yes,individuals,experience,sometimes,yes,small,low,no,yes,no,medium,medium,low,20
YouTuber,automotive,no,brands,physical,yes,yes,large,medium,no,yes,no,low,low,medium,28
Content Creator,non-profit,sometimes,individuals,content,no,no,large,high,no,yes,no,low,medium,low,23
UX Designer,automotive,sometimes,platform,digital,sometimes,yes,massive,low,no,no,no,medium,high,high,25
Religious Youth Leader,technology,yes,companies,service,yes,yes,small,low,yes,no,no,low,high,medium,26
Podcast Host,technology,sometimes,organizations,content,yes,no,medium,high,no,no,no,medium,low,high,23
Religious Youth Leader,technology,no,organizations,physical,yes,no,medium,low,no,yes,yes,medium,medium,high,19
Mechanical Technician,design,yes,brands,experience,no,yes,small,low,yes,yes,yes,high,low,high,19
Music Producer,design,sometimes,organizations,digital,no,no,small,high,yes,no,yes,low,high,high,25
Film Editor,design,sometimes,individuals,service,no,yes,large,low,no,yes,no,high,low,high,28
Architect,non-profit,yes,organizations,content,no,no,small,high,yes,yes,no,medium,high,high,24
Journalist,non-profit,sometimes,companies,content,yes,yes,massive,low,no,no,no,high,high,low,29
Product Manager,music,sometimes,brands,content,sometimes,no,large,medium,no,no,no,low,medium,medium,13
Automotive Engineer,technology,sometimes,organizations,digital,yes,yes,medium,medium,no,no,no,high,low,high,27
Mechanical Technician,entertainment,yes,platform,physical,yes,yes,massive,low,yes,no,no,low,low,low,19
Software Developer,music,yes,brands,experience,sometimes,yes,medium,low,yes,no,no,high,medium,high,27
Social Media Influencer,automotive,sometimes,organizations,content,yes,yes,massive,low,no,no,yes,low,medium,low,17
YouTuber,design,sometimes,platform,physical,no,yes,medium,low,no,yes,no,high,high,high,15
Vehicle Armoring Specialist,automotive,sometimes,organizations,content,sometimes,no,large,medium,yes,yes,yes,low,medium,medium,20
Automotive Engineer,entertainment,yes,platform,experience,no,yes,large,high,yes,no,yes,low,high,high,16
Game Designer,religion,yes,individuals,experience,no,yes,small,low,yes,yes,yes,medium,low,medium,17
Content Creator,social media,yes,platform,digital,sometimes,no,small,high,no,no,yes,low,high,low,13
Graphic Designer,religion,no,platform,physical,yes,no,medium,low,yes,no,no,medium,medium,medium,29
Vehicle Armoring Specialist,design,no,organizations,physical,yes,yes,large,high,no,no,no,high,medium,low,21
Film Editor,entertainment,no,companies,physical,sometimes,yes,massive,medium,no,no,no,medium,high,low,17
Data Analyst,social media,sometimes,organizations,digital,no,yes,small,medium,yes,no,yes,high,high,high,22
Video Editor,religion,no,platform,digital,sometimes,no,large,low,yes,yes,no,medium,low,medium,15
Marketing Specialist,non-profit,sometimes,brands,experience,no,yes,large,medium,yes,yes,yes,medium,medium,low,15
Photographer,music,sometimes,platform,physical,no,yes,massive,high,yes,no,no,medium,low,medium,17
Interior Designer,design,sometimes,brands,digital,yes,yes,medium,low,yes,yes,yes,medium,low,medium,23
Video Editor,entertainment,sometimes,platform,experience,no,no,massive,low,yes,yes,yes,low,low,high,19
Community Manager,music,yes,platform,digital,yes,no,small,low,yes,yes,no,high,high,high,25
Data Analyst,religion,sometimes,companies,service,sometimes,yes,medium,medium,no,yes,no,medium,low,high,26
Software Developer,music,yes,platform,service,sometimes,no,medium,high,yes,no,no,high,high,medium,22
Interior Designer,non-profit,sometimes,brands,service,yes,yes,large,medium,yes,no,yes,medium,high,low,13
Content Creator,marketing,yes,individuals,digital,no,no,massive,high,no,yes,no,medium,high,medium,25
Social Media Influencer,music,no,individuals,physical,sometimes,yes,large,high,yes,no,yes,medium,high,low,18
Video Editor,design,sometimes,brands,digital,no,yes,large,low,no,yes,yes,medium,medium,medium,22
Teacher,social media,no,individuals,experience,yes,yes,small,medium,no,yes,no,medium,medium,high,28
Social Media Influencer,non-profit,yes,companies,experience,yes,yes,massive,high,no,yes,no,medium,medium,low,27
Community Manager,marketing,sometimes,brands,digital,yes,yes,small,high,yes,yes,yes,low,low,medium,28
Church Choir Member,marketing,no,individuals,physical,sometimes,no,medium,low,yes,yes,yes,medium,low,low,17
Video Editor,entertainment,no,individuals,experience,yes,yes,massive,low,yes,yes,yes,high,medium,high,30
Mechanical Technician,music,yes,platform,content,yes,yes,medium,medium,no,yes,yes,low,low,medium,20
Graphic Designer,social media,yes,individuals,physical,yes,yes,large,low,no,no,yes,high,high,high,23
Teacher,entertainment,sometimes,organizations,experience,no,yes,medium,high,no,yes,yes,high,low,high,29
Sound Engineer,automotive,no,organizations,service,no,yes,massive,medium,no,yes,yes,medium,low,low,25
Vehicle Armoring Specialist,design,no,brands,service,no,yes,large,medium,yes,no,no,low,high,medium,27
Game Designer,education,sometimes,organizations,content,yes,no,medium,low,yes,no,no,low,high,low,16
Teacher,religion,sometimes,platform,physical,yes,no,massive,high,yes,no,yes,high,medium,medium,13
Fashion Model,technology,no,individuals,content,yes,no,small,high,yes,no,no,medium,medium,medium,16
Marketing Specialist,design,yes,companies,service,sometimes,no,large,high,yes,yes,yes,medium,low,low,27
Church Choir Member,design,yes,brands,service,no,no,medium,medium,yes,yes,yes,high,low,high,25
Graphic Designer,automotive,yes,individuals,content,sometimes,no,small,medium,no,no,no,high,high,high,21
Event Coordinator,design,yes,individuals,digital,yes,yes,large,low,no,yes,yes,medium,medium,high,29
Game Designer,music,no,organizations,service,sometimes,yes,massive,low,no,no,yes,medium,low,medium,28
Civil Engineer,music,no,individuals,physical,sometimes,yes,small,low,no,yes,no,high,low,low,19
Civil Engineer,social media,yes,individuals,digital,yes,yes,large,medium,yes,yes,yes,high,low,low,30
Interior Designer,non-profit,sometimes,companies,content,no,yes,small,high,no,no,no,high,medium,medium,18
Podcast Host,non-profit,yes,brands,digital,sometimes,yes,massive,low,yes,yes,yes,low,high,high,23
Content Creator,social media,sometimes,individuals,content,yes,yes,medium,high,no,no,yes,medium,low,medium,22
Photographer,marketing,sometimes,organizations,content,sometimes,yes,massive,low,no,yes,yes,high,low,low,25
Video Editor,technology,no,organizations,physical,no,no,large,high,yes,yes,yes,low,high,medium,21
Civil Engineer,religion,yes,individuals,experience,yes,no,large,medium,no,yes,no,high,low,low,27
Architect,social media,sometimes,companies,content,no,yes,small,high,no,no,yes,low,high,low,19
Data Analyst,design,no,brands,digital,no,no,medium,high,yes,yes,yes,high,medium,low,16
Film Editor,non-profit,no,brands,physical,sometimes,yes,massive,low,yes,no,no,high,medium,medium,28
Automotive Engineer,music,no,individuals,digital,sometimes,no,massive,medium,yes,no,yes,low,low,low,15
Church Choir Member,technology,sometimes,organizations,experience,no,no,medium,high,yes,no,yes,high,high,medium,29
Church Choir Member,music,yes,organizations,physical,yes,no,small,low,yes,yes,yes,high,high,medium,30
Social Media Influencer,marketing,yes,brands,service,no,no,large,low,yes,no,yes,high,high,high,28
Marketing Specialist,marketing,no,brands,digital,sometimes,yes,massive,high,no,yes,no,low,high,medium,14
Content Creator,technology,sometimes,organizations,service,sometimes,no,small,low,no,no,no,low,medium,high,25
Photographer,marketing,yes,individuals,physical,yes,no,medium,low,no,yes,no,medium,low,high,22
Sound Engineer,social media,sometimes,brands,service,yes,yes,medium,low,no,no,yes,medium,medium,low,20
Podcast Host,non-profit,sometimes,organizations,physical,yes,no,medium,medium,no,no,yes,medium,high,low,30
Teacher,religion,no,platform,content,yes,no,small,medium,yes,yes,yes,medium,medium,high,27
Automotive Engineer,marketing,no,platform,digital,yes,no,medium,low,yes,yes,yes,high,medium,high,29
Film Editor,entertainment,sometimes,companies,content,yes,no,small,low,yes,yes,no,high,medium,medium,25
NGO Worker,non-profit,sometimes,platform,physical,yes,no,large,low,no,yes,no,low,medium,high,23
Vehicle Armoring Specialist,technology,no,individuals,service,sometimes,yes,large,low,no,yes,yes,medium,high,medium,15
Fashion Model,non-profit,sometimes,platform,service,sometimes,no,small,medium,yes,yes,yes,low,high,low,28
Journalist,non-profit,yes,platform,content,yes,yes,massive,medium,no,no,no,low,high,medium,28
Music Producer,social media,no,brands,service,yes,yes,medium,low,yes,yes,yes,medium,low,low,27
Data Analyst,automotive,sometimes,individuals,physical,sometimes,no,medium,low,yes,no,no,high,low,high,27
Automotive Engineer,non-profit,no,organizations,service,sometimes,yes,massive,high,no,no,yes,high,medium,low,19
Product Manager,automotive,no,brands,experience,no,yes,large,medium,no,yes,no,low,high,high,22
Product Manager,automotive,no,individuals,physical,sometimes,yes,massive,low,no,yes,yes,low,medium,medium,17
Architect,religion,no,organizations,content,yes,yes,medium,low,yes,no,no,high,high,medium,14
Automotive Engineer,design,yes,organizations,service,no,yes,massive,high,yes,no,no,high,medium,low,15
Software Developer,marketing,yes,platform,content,no,yes,massive,medium,no,no,no,medium,medium,low,24
Film Editor,religion,sometimes,platform,service,no,yes,massive,low,yes,yes,yes,low,high,medium,18
Podcast Host,entertainment,sometimes,companies,experience,no,yes,massive,low,yes,no,no,low,low,high,20
Journalist,entertainment,sometimes,individuals,service,no,no,large,low,yes,yes,no,medium,medium,low,22
Podcast Host,automotive,no,individuals,physical,yes,yes,massive,medium,no,no,yes,low,medium,high,30
Film Editor,religion,no,companies,content,no,yes,medium,low,no,yes,yes,medium,low,medium,28
Photographer,entertainment,sometimes,platform,content,sometimes,yes,large,medium,no,no,yes,medium,low,low,20
Product Manager,technology,no,organizations,service,yes,yes,massive,low,no,no,yes,high,medium,high,21
Event Coordinator,technology,yes,organizations,content,no,yes,small,low,yes,no,yes,low,low,high,26
NGO Worker,technology,no,brands,digital,yes,no,medium,medium,no,no,no,medium,high,medium,16
YouTuber,marketing,yes,individuals,content,yes,no,medium,high,no,no,no,low,low,low,25
YouTuber,religion,sometimes,individuals,content,no,no,massive,medium,yes,no,yes,low,medium,low,26
Marketing Specialist,technology,yes,individuals,content,yes,no,medium,high,no,no,no,medium,high,high,16
Photographer,education,no,companies,physical,yes,yes,small,low,no,no,yes,high,medium,low,24
Interior Designer,non-profit,no,brands,digital,no,no,small,medium,no,no,no,high,low,medium,15
Journalist,non-profit,no,companies,content,sometimes,no,medium,medium,yes,yes,no,low,low,medium,30
Graphic Designer,entertainment,sometimes,brands,physical,no,no,small,medium,no,yes,yes,medium,medium,low,22
YouTuber,non-profit,yes,companies,physical,no,no,medium,low,no,yes,yes,low,high,low,28
Video Editor,technology,sometimes,brands,experience,no,no,small,low,no,yes,yes,low,medium,high,19
Religious Youth Leader,religion,sometimes,companies,experience,sometimes,no,large,medium,no,yes,yes,medium,high,medium,20
Architect,design,yes,organizations,physical,no,no,medium,medium,yes,no,yes,medium,medium,high,25
Fashion Model,entertainment,yes,platform,physical,no,no,massive,low,no,yes,no,low,low,low,14
Interior Designer,non-profit,no,companies,content,no,yes,large,high,yes,yes,yes,low,low,high,23
Film Editor,technology,yes,companies,content,sometimes,no,small,low,no,yes,yes,high,low,high,26
Podcast Host,music,no,companies,experience,sometimes,no,medium,high,yes,yes,yes,high,medium,low,20
Marketing Specialist,non-profit,yes,individuals,physical,sometimes,yes,small,high,no,no,no,medium,medium,medium,19
Data Analyst,technology,sometimes,brands,service,yes,yes,massive,high,yes,yes,yes,low,medium,low,18
Journalist,marketing,yes,companies,content,yes,yes,medium,high,yes,no,no,medium,low,high,19
Fashion Model,education,sometimes,individuals,digital,yes,yes,small,low,yes,no,no,low,low,high,24
NGO Worker,entertainment,no,platform,experience,sometimes,no,small,medium,yes,yes,yes,low,medium,high,30
Teacher,religion,no,platform,content,no,no,small,high,yes,no,no,high,medium,high,27
Automotive Engineer,automotive,sometimes,platform,service,no,no,medium,high,yes,no,yes,low,high,high,17
NGO Worker,non-profit,yes,organizations,content,sometimes,no,massive,high,no,no,yes,low,medium,high,17
Data Analyst,non-profit,yes,individuals,content,yes,no,small,high,no,no,no,medium,medium,high,23
Automotive Engineer,technology,no,platform,experience,sometimes,no,massive,medium,yes,yes,no,medium,low,medium,27
Sound Engineer,entertainment,no,brands,experience,sometimes,no,massive,high,yes,yes,yes,high,high,low,23
Fashion Model,education,sometimes,companies,physical,no,no,massive,medium,yes,no,no,low,medium,low,27
